Symbol,Primary Issue,Buy Condition 50 DMA,Buy Condition 200 DMA,DMA Diff on Entry,Entry Mistake,Sell Condition 50 DMA,Sell Condition 200 DMA,DMA Diff on Exit,Exit Mistake,Buy Verdict,Sell Verdict,Price Change Since Sell
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.26
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.26
ANANTRAJ,BOTH: Bad Entry + Early Exit,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),5.97,-0.05,-5.68,Sold during improving trend,Bad call,Wrong early sell,7.26
ANANTRAJ,WELL EXECUTED,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),15.9,18.01,1.83,GOOD EXIT,Good call,Good call,-7.42
ANANTRAJ,WELL EXECUTED,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),15.9,18.01,1.83,GOOD EXIT,Good call,Good call,-7.42
ANANTRAJ,WELL EXECUTED,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),15.9,18.01,1.83,GOOD EXIT,Good call,Good call,-7.42
ANANTRAJ,WELL EXECUTED,19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),15.9,18.01,1.83,GOOD EXIT,Good call,Good call,-7.42
ANANTRAJ,EARLY EXIT (wasted good entry),19.06,-7.52,-22.32,Below 200 DMA | Death Cross (50<200) | Overbought (>15% above DMA),2.02,7.83,5.7,Sold above both DMAs | Sold during improving trend,Good call,Wrong early sell,1.9
BAJAJHLDNG,BOTH: Bad Entry + Early Exit,-3.31,6.17,9.81,GOOD ENTRY,-5.55,-1.51,4.28,N/A,Bad call,Wrong early sell,7.03
BSE,EARLY EXIT (wasted good entry),-7.11,5.68,13.77,GOOD ENTRY,8.31,13.69,4.97,Sold above both DMAs | Still strong trend (>5% above DMAs),Good call,Wrong early sell,1.45
BSE,EARLY EXIT (wasted good entry),-7.11,5.68,13.77,GOOD ENTRY,8.31,13.69,4.97,Sold above both DMAs | Still strong trend (>5% above DMAs),Good call,Wrong early sell,1.45
BSE,EARLY EXIT (wasted good entry),-7.11,5.68,13.77,GOOD ENTRY,8.31,13.69,4.97,Sold above both DMAs | Still strong trend (>5% above DMAs),Good call,Wrong early sell,1.45
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.58
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.58
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.57
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.58
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.59
COROMANDEL,BOTH: Bad Entry + Early Exit,-1.72,10.63,12.56,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.59
COROMANDEL,BOTH: Bad Entry + Early Exit,-7.32,3.1,11.24,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.59
COROMANDEL,BOTH: Bad Entry + Early Exit,-7.32,3.1,11.24,GOOD ENTRY,-4.72,3.51,8.64,N/A,Bad call,Wrong early sell,0.57
BAJAJHLDNG,BOTH: Bad Entry + Early Exit,-5.58,1.65,7.66,GOOD ENTRY,-5.55,-1.51,4.28,N/A,Bad call,Wrong early sell,7.02
BAJAJHLDNG,BOTH: Bad Entry + Early Exit,-5.58,1.65,7.66,GOOD ENTRY,-5.55,-1.51,4.28,N/A,Bad call,Wrong early sell,7.02
BAJAJHLDNG,BOTH: Bad Entry + Early Exit,-5.58,1.65,7.66,GOOD ENTRY,-5.55,-1.51,4.28,N/A,Bad call,Wrong early sell,7.02
BSE,EARLY EXIT (wasted good entry),-12.29,-4.15,9.28,Below 200 DMA,8.31,13.69,4.97,Sold above both DMAs | Still strong trend (>5% above DMAs),Good call,Wrong early sell,1.45
BSE,EARLY EXIT (wasted good entry),-12.29,-4.15,9.28,Below 200 DMA,8.31,13.69,4.97,Sold above both DMAs | Still strong trend (>5% above DMAs),Good call,Wrong early sell,1.46
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
RADICO,WELL EXECUTED,1.18,14.52,13.19,GOOD ENTRY,9.4,25.57,14.78,GOOD EXIT,Good call,Good call,-0.79
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.1% left on table),Good call,Wrong early sell,25.14
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.1% left on table),Good call,Wrong early sell,25.14
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.1% left on table),Good call,Wrong early sell,25.14
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.1% left on table),Good call,Wrong early sell,25.15
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.2% left on table),Good call,Wrong early sell,25.19
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.2% left on table),Good call,Wrong early sell,25.22
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.2% left on table),Good call,Wrong early sell,25.22
GOLDETF,EARLY EXIT (wasted good entry),2.4,13.49,10.83,GOOD ENTRY,8.3,21.66,12.33,Sold above both DMAs | Sold during improving trend | Still strong trend (>5% above DMAs) | Large miss (25.2% left on table),Good call,Wrong early sell,25.23
